Dialogue_ID,Utterance_ID,Knowledge
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,"['I feel happy because I have a plan for how we can spend our evening that is both active and social. I also feel good because I have managed to convince my friend to do something that is good for our health.', 'I feel happy because I have a plan for how we can spend our evening that is both active and social. I also feel good because I have persuaded my friend to join me in this plan.']"
1,0,
1,1,
1,2,
1,3,
1,4,
1,5,['I feel confident because I know that I can do 30 push-ups in a minute.']
2,0,
2,1,
2,2,
2,3,
2,4,"[""I feel frustrated because I don't understand the other person's logic. If they can listen to background music, why can't they listen to the radio?""]"
3,0,
3,1,
3,2,
3,3,['I feel relieved now because the other person told me that the person who fell is an acrobat and is probably used to falling.']
4,0,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,
4,7,
4,8,['I feel happy because I made a new friend and we have something in common.']
5,0,
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
5,7,
5,8,
5,9,"[""I feel frustrated because the other person doesn't believe in horoscopes. I think they are fun to read and can be accurate sometimes."", ""I feel frustrated because the other person doesn't believe in horoscopes. I think they are interesting and can tell you a lot about a person's personality."", 'I feel annoyed with the other person because they are not taking my horoscope seriously. I believe in horoscopes and think they are accurate, so I am disappointed that the other person is not interested in them.']"
6,0,
6,1,
6,2,
6,3,
6,4,
6,5,
6,6,['I feel happy for Frank. He seems to be very in love with the girl he is going to marry and I think that is wonderful.']
7,0,
7,1,
7,2,
7,3,
7,4,
7,5,
7,6,
7,7,
7,8,
7,9,
7,10,
7,11,
7,12,"[""I feel happy for the other person's good fortune in finding a great deal on a new house that they love. I also feel a twinge of jealousy, as I would love to find a good deal on a new house myself."", ""I feel happy for the other person's good fortune in finding a great deal on a new house that they love. I also feel a little bit envious, as I would love to find a good deal on a new house myself.""]"
8,0,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
8,9,
8,10,
8,11,"[""I feel frustrated because my mother-in-law is constantly criticizing me and I can never do anything right in her eyes. I also feel a bit angry because I feel like she's always trying to find fault with everything I do.""]"
9,0,
9,1,
9,2,
9,3,
9,4,
9,5,"['I feel frustrated because we are so close to the deadline and I know that we can make it, but it is going to be close.', 'I feel relieved because we will finally be able to meet the deadline and get Stars.com up and running. I also feel happy because the Filipino kid is a genius and they are working out well.']"
10,0,
10,1,
10,2,
10,3,
10,4,
10,5,
10,6,
10,7,['I feel happy because I like cooking and I love trying new recipes. I also feel happy because I have friends who like to eat the food I cook.']
11,0,
11,1,
11,2,
11,3,
11,4,['I feel happy now because I am with my friend in the kitchen.']
12,0,
12,1,
12,2,
12,3,
12,4,
12,5,
12,6,
12,7,['I feel happy and content because I had a great time at summer camp and got to try new things.']
13,0,
13,1,
13,2,
13,3,"[""I feel a little disappointed. I think the other person was trying to be thoughtful, but they didn't know me well enough to know that I don't wear perfume."", ""I feel a little embarrassed because I accepted a gift that I don't even use."", ""I feel disappointed because I gave someone a gift that they don't even use.""]"
14,0,
14,1,
14,2,
14,3,
14,4,
14,5,
14,6,
14,7,
14,8,
14,9,
14,10,
14,11,
14,12,
14,13,
14,14,"[""I feel frustrated because I don't want to do any of the things that the other person is suggesting. I also feel a little bit overwhelmed because it seems like a lot of exercise."", ""I feel frustrated because I don't want to do any of the things that the other person is suggesting. I also feel a little bit scared because I don't know how to do the dance class.""]"
15,0,
15,1,
15,2,
15,3,
15,4,
15,5,
15,6,"[""I feel happy that I saw Bill's grandma yesterday. It is nice to see that she is staying fit and healthy at her age.""]"
16,0,
16,1,
16,2,
16,3,
16,4,
16,5,
16,6,
16,7,
16,8,
16,9,
16,10,
16,11,"['I feel frustrated because the other person is not listening to me. I have told them twice that there are only two classes that are still open, and they keep asking me if there are more.', 'I feel happy because the other person has decided to take a class.', 'I feel relieved that the other person has decided on a class. I was getting worried that they were going to keep asking questions.', 'I feel frustrated because the other person is not listening to me. I have told them twice that there are only two classes that are still open, and they keep asking me if I am sure.']"
17,0,
17,1,
17,2,
17,3,
17,4,"[""I feel excited because I don't have to go to school tomorrow.""]"
18,0,
18,1,
18,2,
18,3,
18,4,
18,5,
18,6,
18,7,"['I feel curious now. I want to know why the other person thinks English is a ""crazy language.""', 'I feel happy now because I just met someone new and we are having a pleasant conversation.']"
19,0,
19,1,
19,2,
19,3,
19,4,
19,5,['I feel hopeful because the other person is willing to help me find the information I need.']
