Dialogue_ID,Utterance_ID,Knowledge
0,0,
0,1,
0,2,"[""I sure did! It was a lot of work, but I'm glad we made the switch. It's been a big improvement for our company.""]"
1,0,
1,1,
1,2,
1,3,['It sounds like it was a lot of work.']
2,0,
2,1,
2,2,
2,3,
2,4,['I was responsible for the training of the new system to the employees.']
3,0,
3,1,
3,2,
3,3,
3,4,
3,5,"['What were some of your primary responsibilities?', 'What were your primary responsibilities?']"
4,0,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,"['Yes, I will.', ""I'll have a lot of duties, yes.""]"
5,0,
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
5,7,"['You\x92ll have to be organized and efficient.\nOther: That\x92s true.\nMarv: You\x92ll also have to be able to handle stress.\nOther: Yes, I will.', 'You\x92ll have to be organized and efficient.\nOther: That\x92s true.\nMarv: You\x92ll have to be able to work well under pressure.\nOther: That\x92s definitely true.']"
6,0,
6,1,
6,2,
6,3,
6,4,
6,5,
6,6,
6,7,
6,8,"['I suppose that\x92s true.', ""I'll keep that in mind."", 'That\x92s a relief.']"
7,0,
7,1,
7,2,
7,3,
7,4,
7,5,
7,6,
7,7,
7,8,
7,9,"[""But you have to be careful not to overburden them or they\x92ll start to resent you.\nOther: I'll keep that in mind."", 'You\x92ll have to keep an eye on the budget, of course.\nOther: Yes, that will be one of my primary responsibilities.']"
8,0,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
8,9,
8,10,"[""I'll be responsible for heading up the division and overseeing all of its operations. This will include managing a team of employees and ensuring that all our goals and objectives are met."", ""Sure, I'd love to chat about my new duties!""]"
9,0,
9,1,
9,2,
9,3,
9,4,
9,5,
9,6,
9,7,
9,8,
9,9,
9,10,
9,11,"['But you must be excited about the new position.\nOther: I am!', 'What?\nOther: I said don\x92t go into detail!', 'about that later if you\x92d like.', 'about that later if you\x92d like.\nOther: Please.']"
10,0,
10,1,
10,2,
10,3,
10,4,
10,5,
10,6,
10,7,
10,8,
10,9,
10,10,
10,11,
10,12,['Thank you. I appreciate it.']
11,0,
11,1,
11,2,
11,3,
11,4,
11,5,
11,6,
11,7,
11,8,
11,9,
11,10,
11,11,
11,12,
11,13,"['Yes, I think you\x92ll do just fine.']"
12,0,
12,1,
12,2,"[""I'm sorry, I didn't mean to upset you.""]"
13,0,
13,1,
13,2,
13,3,['I was talking about the waitress I went out with last month.']
14,0,
14,1,
14,2,
14,3,
14,4,"[""Oh, you don't know?\n\nOther:\n\nNo, I don't know who you're talking about.""]"
15,0,
15,1,
15,2,
15,3,
15,4,
15,5,
15,8,"[""Well, I mean, I-I-I-I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't"", ""I'm sorry, I didn't mean to get emotional."", ""Well, I'll see you later.""]"
16,0,
16,1,
16,2,"[""What's up?""]"
17,0,
17,1,
17,2,
17,3,"[""I'm really emotional right now and it's really hard to deal with.""]"
18,0,
18,1,
18,2,
18,3,
18,4,"['Oh, man. That\x92s terrible.']"
19,0,
19,1,
19,2,
19,3,
19,4,
19,5,"['I know, right? I\x92m so bummed out about it.']"
20,0,
20,1,
20,2,
20,3,
20,4,
20,5,
20,6,['That\x92s the worst news I\x92ve heard all day.']
21,0,
21,1,
21,2,
21,3,
21,4,
21,5,
21,6,
21,7,"[""I don't know, man. This really sucks.""]"
22,0,
22,1,
22,2,
22,3,
22,4,
22,5,
22,6,
22,7,
22,8,['This is the worst day ever.']
23,0,
23,1,
23,2,
23,3,
23,4,
23,5,
23,6,
23,7,
23,8,
23,9,"['You can get anything you want at this bar.', ""Sorry, buddy, but it looks like you're out of luck."", ""I'm sorry, but we don't serve beer here.""]"
24,0,
24,1,
24,2,
24,3,
24,4,
24,5,
24,6,
24,7,
24,8,
24,9,
24,10,"[""No, I didn't.""]"
25,0,
25,1,
25,2,
25,3,
25,4,
25,5,
25,6,
25,7,
25,8,
25,9,
25,10,
25,11,['Who is it?']
26,0,
26,1,
26,2,
26,3,
26,4,
26,5,
26,6,
26,7,
26,8,
26,9,
26,10,
26,11,
26,12,"['Nah, I went with the black guy.\nMarv: He seems really cool.']"
27,0,
27,1,
27,2,['Monica just got hit by a car!']
28,0,
28,1,
28,2,
28,3,
28,4,
28,5,
28,6,
28,8,
28,9,"[""I'm so sorry.""]"
29,0,
29,1,
