Dialogue_ID,Utterance_ID,Knowledge
0,0,
0,1,
0,2,['I feel proud of myself because I was able to successfully lead my company through a difficult transition.']
1,0,
1,1,
1,2,
1,3,['I feel impressed because the KL-5 to GR-6 system is a big transition for a company.']
2,0,
2,1,
2,2,
2,3,
2,4,"['I feel proud of my accomplishment and happy to have been able to help my company make the transition.', 'I feel relieved that the interview is focusing on my professional accomplishments and not on my personal life. I feel proud of my work and am happy to talk about it.', 'I feel proud of myself because I was able to successfully lead my company through a difficult transition. I feel confident because I was able to do something that was challenging and required a lot of responsibility.']"
3,0,
3,1,
3,2,
3,3,
3,4,
3,5,"[""I feel now that I am interested in learning more about what Chandler's duties were during his company's transition from the KL-5 to GR-6 system. I am curious to know more about what he did and why he did it."", 'I feel now that I am getting to know Chandler better and I am interested in hearing more about his work. I also feel a little bit proud of him, because it sounds like he did a lot of work on the transition from KL-5 to GR-6.', ""I feel curious now and want to know more about Chandler's duties during the company's transition."", 'I feel now that I am getting to know Chandler better and I am interested in hearing more about his work. I also feel a little bit proud of him for his accomplishments.']"
4,0,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,"['I feel proud of myself because I was able to successfully lead my company through a difficult transition. I feel confident in my abilities, and I am excited for the opportunity to lead a whole division.']"
5,0,
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
5,7,"[""I feel impressed because Chandler was the point person on their company's transition from the KL-5 to GR-6 system. This shows that Chandler is responsible and capable, and I think they will be a great leader for the division."", ""I feel now that I need to ask more questions about Chandler's duties. I want to know more about what he did during the transition and what his responsibilities are now."", ""I feel impressed because Chandler was the point person on their company's transition from the KL-5 to GR-6 system. This shows that Chandler is competent and capable, and I believe they will be successful in heading a division."", 'I feel now that I need to get more information from Chandler about his duties. I want to know more so that I can understand what he did and how it will help him in his new position.', ""I feel impressed because Chandler was the point person on their company's transition from the KL-5 to GR-6 system. This shows that Chandler is competent and capable, and that they are likely to be successful in their new role as division head.""]"
6,0,
6,1,
6,2,
6,3,
6,4,
6,5,
6,6,
6,7,
6,8,"['I feel nervous now because I am being interviewed for a promotion and I want to make sure that I am able to answer all of the questions correctly.', 'I feel confident now because I was able to talk about my previous experience in a way that showed my leadership skills.']"
7,0,
7,1,
7,2,
7,3,
7,4,
7,5,
7,6,
7,7,
7,8,
7,9,"['I feel now that I need to be more careful in my questioning. I was not expecting Chandler to have such a detailed answer and I was not prepared to follow up with more questions.', 'I feel now that I need to be more careful in my questioning. I was not expecting Chandler to have such a detailed answer and I feel like I need to be more prepared in the future.', 'I feel now that I need to be more careful in my questioning. I was not expecting Chandler to have such a detailed answer and I need to be more prepared in the future.']"
8,0,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
8,9,
8,10,"['I feel relieved that I will have people to help me with my new duties. I also feel excited about the new opportunity to lead a division.', 'I feel confident now because I was able to talk about my experience in a way that was clear and concise. I also felt that the interviewer was interested in what I had to say.']"
9,0,
9,1,
9,2,
9,3,
9,4,
9,5,
9,6,
9,7,
9,8,
9,9,
9,10,
9,11,"['I feel a little bit relieved, because it seems like Chandler is going to be a good division head. He seems to have a lot of experience and is willing to delegate.', 'I feel a little bit relieved, because it seems like Chandler is going to be a good division head. He seems to have a lot of experience and is willing to delegate tasks.', ""I feel relieved that I won't have to go into detail about my duties. I'm also happy that I'll have a lot of people under me to help with the workload."", 'I feel now that I understand what my duties will be, and I am confident in my ability to fulfill them. I also feel that I have the support of my team, and that we can work together to achieve our goals.']"
10,0,
10,1,
10,2,
10,3,
10,4,
10,5,
10,6,
10,7,
10,8,
10,9,
10,10,
10,11,
10,12,"['I feel relieved and happy. I am relieved because I was worried about the interview, and happy because it seems like I will get the job.']"
11,0,
11,1,
11,2,
11,3,
11,4,
11,5,
11,6,
11,7,
11,8,
11,9,
11,10,
11,11,
11,12,
11,13,"['I feel happy and relieved. I am happy because I think I will get the job, and relieved because it seems like it will be a good fit.', 'I feel confident and excited. I feel this way because I have been offered a job with a lot of responsibility.']"
12,0,
12,1,
12,2,"['I feel frustrated because I want to know who Rachel is talking about, but she is refusing to tell me.', ""I feel frustrated because I don't know who Rachel is talking about.""]"
13,0,
13,1,
13,2,
13,3,"['I feel frustrated because I feel like Joey is not listening to me.', 'I feel frustrated because I think Joey is deliberately not understanding who I am talking about.', ""I feel frustrated because I'm not getting the answer I want.""]"
14,0,
